first_name,last_name,gender,email,shoe_type,shoe_material,shoe_color
David,Williams,Female,jane.johnson@example.com,Sandals,Leather,Black
Michael,Smith,Female,jane.johnson@example.com,Sneakers,Leather,White
Emily,Davis,Female,emily.jones@example.com,Boots,Mesh,Green
Michael,Davis,Female,david.jones@example.com,Sandals,Synthetic,Brown
John,Smith,Male,john.johnson@example.com,Flats,Synthetic,Blue
Emily,Davis,Male,michael.jones@example.com,Heels,Mesh,Red
John,Davis,Male,john.williams@example.com,Boots,Synthetic,White
John,Brown,Female,john.brown@example.com,Flats,Mesh,White
David,Jones,Male,sarah.brown@example.com,Sandals,Leather,White
Sarah,Williams,Male,michael.davis@example.com,Heels,Mesh,Red
Michael,Brown,Male,sarah.johnson@example.com,Boots,Mesh,Blue
John,Brown,Female,sarah.johnson@example.com,Sandals,Leather,Black
Emily,Smith,Male,jane.smith@example.com,Boots,Canvas,White
David,Johnson,Female,jane.davis@example.com,Heels,Leather,Red
John,Johnson,Female,jane.johnson@example.com,Flats,Mesh,Red
John,Brown,Male,jane.williams@example.com,Flats,Mesh,Green
Jane,Smith,Male,david.brown@example.com,Heels,Canvas,Red
Emily,Johnson,Female,john.brown@example.com,Heels,Canvas,Red
Emily,Brown,Female,john.smith@example.com,Boots,Synthetic,Blue
John,Johnson,Female,michael.williams@example.com,Sneakers,Mesh,Brown
Jane,Davis,Female,emily.johnson@example.com,Heels,Mesh,Green
John,Jones,Male,john.davis@example.com,Boots,Synthetic,Brown
Emily,Brown,Male,john.jones@example.com,Boots,Leather,Black
Michael,Williams,Male,jane.davis@example.com,Sandals,Canvas,White
John,Johnson,Female,michael.davis@example.com,Sneakers,Leather,Brown
Sarah,Jones,Male,jane.jones@example.com,Sandals,Synthetic,Red
John,Williams,Male,emily.davis@example.com,Sandals,Mesh,Red
Michael,Brown,Female,david.davis@example.com,Sandals,Synthetic,White
John,Davis,Female,michael.johnson@example.com,Heels,Canvas,Black
Jane,Johnson,Female,jane.smith@example.com,Heels,Canvas,Green
Sarah,Jones,Female,jane.davis@example.com,Flats,Canvas,White
Emily,Johnson,Male,john.davis@example.com,Flats,Synthetic,White
Emily,Davis,Male,jane.smith@example.com,Sneakers,Synthetic,Black
Sarah,Brown,Male,sarah.brown@example.com,Flats,Synthetic,Blue
Michael,Jones,Male,sarah.davis@example.com,Sandals,Leather,Blue
Emily,Davis,Female,michael.brown@example.com,Sneakers,Synthetic,Blue
Sarah,Brown,Male,sarah.brown@example.com,Boots,Synthetic,Brown
David,Smith,Male,john.jones@example.com,Sandals,Canvas,Red
Jane,Williams,Female,michael.williams@example.com,Sandals,Synthetic,Black
Michael,Davis,Female,emily.williams@example.com,Heels,Synthetic,White
Sarah,Brown,Male,david.smith@example.com,Sandals,Mesh,Red
Michael,Davis,Female,john.brown@example.com,Flats,Synthetic,Black
John,Williams,Female,emily.jones@example.com,Sneakers,Mesh,Brown
Jane,Jones,Male,sarah.jones@example.com,Flats,Synthetic,White
Michael,Johnson,Male,david.davis@example.com,Flats,Canvas,White
John,Davis,Male,david.davis@example.com,Heels,Mesh,Red
Michael,Davis,Male,john.davis@example.com,Sneakers,Canvas,Black
John,Brown,Female,jane.davis@example.com,Flats,Leather,White
Emily,Brown,Female,john.brown@example.com,Heels,Canvas,Green
John,Smith,Male,emily.jones@example.com,Flats,Leather,Red
David,Smith,Male,john.brown@example.com,Sneakers,Leather,Brown
Jane,Smith,Female,sarah.brown@example.com,Boots,Canvas,Blue
Michael,Williams,Female,david.jones@example.com,Sandals,Canvas,Black
Jane,Davis,Female,emily.jones@example.com,Heels,Mesh,Red
Sarah,Williams,Female,sarah.johnson@example.com,Heels,Canvas,Brown
Sarah,Smith,Female,david.williams@example.com,Sandals,Canvas,Black
Sarah,Brown,Male,sarah.smith@example.com,Sandals,Synthetic,Brown
John,Williams,Female,michael.smith@example.com,Sandals,Synthetic,White
David,Davis,Female,david.johnson@example.com,Heels,Synthetic,Brown
David,Brown,Male,michael.johnson@example.com,Sneakers,Canvas,White
Jane,Brown,Male,david.jones@example.com,Boots,Mesh,Brown
